LOCATION,correlation
AUS,-0.39477617093387324
AUT,0.5491509999295571
BEL,-0.10898666460457355
CAN,0.0958365588950093
DNK,0.2600996466330803
FIN,0.4020177153547196
FRA,-0.01390705244203702
DEU,0.7890692892105513
GRC,0.3356448752135448
IRL,-0.15805732374269524
ITA,-0.1158753144682226
JPN,0.7051282743243839
KOR,0.7886536115962827
LUX,-0.33343682180226536
NLD,0.10244984833195804
NZL,0.11922247641116351
NOR,0.0839990665352034
PRT,0.7555640881911243
ESP,-0.23088003812798696
SWE,0.3863347848072518
CHE,0.8985138307331709
GBR,-0.260271532172133
USA,-0.40018315024631396
ISR,0.600063903174989
